Government & Civil Society,0,0,0,198910.61,913793.23384,1168025.0034,1260021.6949,3113285.2347,8472313.47644,58585570.44683,148779068.58558,251578308.736167,428239059.884868,784863016.75127,996148041.03329,1004237587.10354,979169230.860809,925321139.413853,802606546.335707,889521178.491679,1157718656.27807,1464333635.54505,1482458311.7868,1969137275.77176,2312336286.50169,2772398563.2336,2772140952.06381,2312468675.30609,1719481960.91249,900941052.52188,322476748.671847,23053061.3989818,0,0,0
Health,0,0,0,0,0,0,0,182831.704,1118066.1028,2690786.5835,21826255.47341,89213422.76296,241380802.99268,713076594.4974,1297526892.52695,2675855010.79459,1796811257.13205,1240763118.41127,1344853435.46264,1384625958.33127,1527174897.10652,2174514824.59174,2329340232.56077,2733289793.96259,3240664886.52772,6275028901.33215,5507688045.2027,3755094546.2407,2498334113.56347,1335352573.00708,491182984.04028,186841459.7976,12575948.32,0,0
"Industry, Mining, Construction",0,0,0,0,0,0,0,0,4027083.217,12731627.8661,137336242.2611,127719116.521285,184014107.115063,307976658.836352,402966979.858959,635655089.718862,840063356.948637,808206749.212441,597996621.668848,579338818.641495,528726984.61973,702624873.61699,1060629911.37282,1175402513.05244,1155957892.64847,1155191062.70875,1141381062.25511,924411097.2753,650877683.9259,416836834.4616,240643827.082,117989397.568,33554867.47,0,0
Other Multisector,0,0,0,0,0,0,0,144050.52512,12448881.542916,43909914.7146,100859009.065,100158200.6789,112008821.9742,345537568.8665,674671888.8477,735152607.67712,930698905.91764,970347989.68465,1384650512.76616,1381938339.13904,1404839389.51501,1565287091.87004,1736498628.40085,1881032365.94014,2127906437.81006,2408566214.68724,2368886587.1084,2157797112.09522,1781427655.77645,1212193309.74402,382227701.861051,71771599.8764523,806440.14,0,0
Other Social Infrastructure & Services,0,0,0,0,0,2919130.325,10695998.012,12436201.3854,19832948.6495,29335748.6974,76785023.174097,159460558.881687,212761411.20031,1052121418.5864,2573571577.28424,1598202188.2036,1162623861.42052,1658160354.86419,1265689589.18351,1285171029.11107,1609822963.68783,2563647440.80502,2914201270.83327,3596952765.44776,4148035397.9113,5223938429.37742,4592251666.2437,3038452553.13692,1753478657.99432,931729755.36,408852918.2964,76419616.319,3231375.43,0,0
Population Policies/Programmes & Reproductive Health,0,0,0,0,0,0,563991.69,2494861.734,4112919.446,5885132.3433,18408245.04088,30317268.59293,94544506.3923,253711684.3929,261079205.66951,234523544.2738,211483496.0083,245295414.9763,259735803.7024,240889111.0076,288354740.28287,357758315.15016,396037110.6757,374007434.6173,463538690.46055,454030067.700896,398453486.6744,328303034.7022,205040531.6789,90766733.414,38063306.011,5249799.2672,0,0,0
Reconstruction Relief & Rehabilitation,0,0,0,0,0,0,0,0,517128.0247,752881.3625,1602647.646,1703119.315,2066213.211,23019298.275,25595836.0092,43122645.459617,76717335.2779371,80755681.8053161,88611250.6122664,114775467.641749,153346880.391541,226702864.931342,222350749.3412,288116022.6689,414674002.9668,481056918.6304,295049199.2466,175325770.489,105353333.665,49616357.1256,10285438.44,7307318.3,1862762.43,0,0
Trade Policies & Regulations,0,0,0,0,0,0,0,0,74053.2282,21631206.4647,47500358.9087,48391285.5082,27024188.18862,31847381.59515,53333407.99306,146077506.40286,157485413.752736,181809236.94338,220936825.9678,202853687.45363,199407542.281505,237176795.4377,309791874.267838,473416977.78251,590596553.23858,707249814.6386,672617782.6869,509538050.8587,330977047.1548,146796257.12444,64521812.9002,19382184.918,707734.794,0,0
Transport & Storage,0,0,0,0,0,0,0,0,38059292.678,172568894.3107,374177282.3925,557533792.430992,1051944576.87285,2479365044.16698,2845705316.47764,4248938532.81771,4686060466.6245,4574198938.19248,4411095041.57114,4693139650.49711,5290456817.30602,6461872470.41755,6602050810.63479,6885089368.62534,6065763877.74645,5368193312.12914,4749465975.67203,3686949293.91271,2738754366.19793,1971016200.49658,807409652.173209,206257617.500502,6423385.868,0,0
Water Supply & Sanitation,0,0,0,0,0,0,0,11926077.99316,24329077.23614,61553455.61568,165686904.53443,279277987.34604,515823641.9527,1065149673.45639,1404224369.49807,1818272175.83714,2004667858.98608,2226667405.04342,2325076944.77267,2470039781.01747,2569522261.9234,3396704200.43992,3493768346.68851,4408142524.03732,5071799341.10158,5126994435.64117,3778047206.1363,3125449592.3866,2583900813.594,1977637651.5894,869330297.7232,355863274.7186,88912397.1546,13092247.7638,0
